"sample","Host"
"PC91_S107","Pig"
"PC92_S73","Pig"
"PC94_S12","Pig"
"PC95_S80","Pig"
"PC98_S157","Pig"
"PC99_S154","Pig"
"PG1_S3","Poultry"
"PG10_S44","Poultry"
"PG100_S42","Poultry"
"PG101_S40","Poultry"
"PG102_S35","Poultry"
"PG103_S34","Poultry"
"PG104_S70","Poultry"
"PG108_S269","Poultry"
"PG115_S200","Poultry"
"PG121_S50","Poultry"
"PG124_S37","Poultry"
"PG128_S24","Poultry"
"PG136_S26","Poultry"
"PG137_S205","Poultry"
"PG145-redeposit_S10","Poultry"
"PG147_S112","Poultry"
"PG166_S136","Poultry"
"PG178_S2","Poultry"
"PG179_S3","Poultry"
"PG181_S4","Poultry"
"PG189_S5","Poultry"
"PG195_S6","Poultry"
"PG199_S7","Poultry"
"PG200_S8","Poultry"
"PG202_S9","Poultry"
"PG203_S10","Poultry"
"PG205_S11","Poultry"
"PG206_S12","Poultry"
"PG207_S13","Poultry"
"PG210_S14","Poultry"
"PG211_S15","Poultry"
"PG212_S16","Poultry"
"PG213_S17","Poultry"
"PG214_S18","Poultry"
"PG216_S19","Poultry"
"PG217_S20","Poultry"
"PG218_S21","Poultry"
"PG227_S3","Poultry"
"PG231_S23","Poultry"
"PG239_S37","Poultry"
"PG248_S124","Poultry"
"PG250_S3","Poultry"
"PG251_S4","Poultry"
"PG253_S5","Poultry"
"PG254_S6","Poultry"
"PG258_S124","Poultry"
"PG259_S125","Poultry"
"PG263-redeposit_S3","Poultry"
"PG265_S127","Poultry"
"PG266_S128","Poultry"
"PG267_S129","Poultry"
"PG268_S130","Poultry"
"PG269_S131","Poultry"
"PG270_S132","Poultry"
"PG271_S133","Poultry"
"PG273_S20","Poultry"
"PG280_S155","Poultry"
"PG283_S156","Poultry"
"PG285_S154","Poultry"
"PG289_S145","Poultry"
"PG294_S21","Poultry"
"PG295_S4","Poultry"
"PG297_S17","Poultry"
"PG298_S129","Poultry"
"PG299_S9","Poultry"
"PG3-redeposit_S1","Poultry"
"PG304_S20","Poultry"
"PG306_S18","Poultry"
"PG307_S116","Poultry"
"PG308_S120","Poultry"
"PG309_S119","Poultry"
"PG31_S122","Poultry"
"PG310_S136","Poultry"
"PG311_S125","Poultry"
"PG312_S140","Poultry"
"PG314_S141","Poultry"
"PG315_S151","Poultry"
"PG316_S144","Poultry"
"PG317_S150","Poultry"
"PG319_S121","Poultry"
"PG320_S131","Poultry"
"PG321_S117","Poultry"
"PG324_S112","Poultry"
"PG33_S193","Poultry"
"PG335_S110","Poultry"
"PG336_S113","Poultry"
"PG340_S90","Poultry"
"PG344_S89","Poultry"
"PG348_S264","Poultry"
"PG35_S55","Poultry"
"PG358_S265","Poultry"
"PG360_S116","Poultry"
"PG361_S266","Poultry"
"PG362_S71","Poultry"
"PG363_S267","Poultry"
"PG364_S149","Poultry"
"PG366_S15","Poultry"
"PG367_S72","Poultry"
"PG370_S270","Poultry"
"PG373-redeposit_S1","Poultry"
"PG381_S147","Poultry"
"PG385_S10","Poultry"
"PG39_S201","Poultry"
"PG394_S14","Poultry"
"PG40_S28","Poultry"
"PG46_S133","Poultry"
"PG47_S192","Poultry"
"PG48_S134","Poultry"
"PG53_S194","Poultry"
"PG56-redeposit_S3","Poultry"
"PG58_S48","Poultry"
"PG63_S171","Poultry"
"PG64_S38","Poultry"
"PG69-redeposit_S5","Poultry"
"PG7_S35","Poultry"
